"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0H890","2019-09-18 00:00:00","440.000","298.000","0.400","24.000","0.920","959.000","-99.000","0.000","-99.000","-99.000","-99.000","31.400","","23.100",""
"C0S770","2019-09-18 00:00:00","375.000","328.000","1.200","24.600","0.670","967.300","-99.000","0.500","-99.000","-99.000","-99.000","27.100","","22.100",""
"C0X230","2019-09-18 00:00:00","29.000","5.000","1.100","25.000","0.790","1006.400","-99.000","0.000","-99.000","-99.000","-99.000","31.400","","23.500",""
"C0B010","2019-09-18 00:00:00","38.000","53.000","1.500","26.400","0.820","1005.200","-99.000","1.000","-99.000","-99.000","-99.000","27.800","","25.500",""
"C0R490","2019-09-18 00:00:00","49.000","353.000","0.300","27.500","0.890","1002.300","-99.000","0.000","-99.000","-99.000","-99.000","32.500","","25.700",""
"C0V440","2019-09-18 00:00:00","27.000","111.000","0.700","27.700","0.760","1004.600","-99.000","0.000","-99.000","-99.000","-99.000","32.500","","25.200",""
"C0SA40","2019-09-18 00:00:00","200.000","328.000","1.300","24.100","0.870","987.600","-99.000","0.000","-99.000","-99.000","-99.000","31.600","","22.600",""
"C0Z280","2019-09-18 00:00:00","224.000","180.000","1.100","22.700","0.970","986.500","-99.000","0.500","-99.000","-99.000","-99.000","30.300","","21.400",""
"C0Z070","2019-09-18 00:00:00","247.000","0.000","0.100","22.700","0.990","982.600","-99.000","0.000","-99.000","-99.000","-99.000","29.600","","21.200",""
"C0T9N0","2019-09-18 00:00:00","261.000","53.000","1.500","23.100","0.930","981.300","-99.000","0.000","-99.000","-99.000","-99.000","29.800","","22.200",""
"C0K470","2019-09-18 00:00:00","97.000","117.000","0.700","24.400","0.910","997.200","-99.000","0.000","-99.000","-99.000","-99.000","32.200","","23.600",""
"C0V650","2019-09-18 00:00:00","28.000","4.000","3.800","28.100","0.770","1006.900","-99.000","0.000","-99.000","-99.000","-99.000","31.400","","26.400",""
"C0H9C0","2019-09-18 00:00:00","3402.000","63.000","2.000","7.700","0.690","677.400","-99.000","0.000","-99.000","-99.000","-99.000","16.400","","6.700",""
"C0U780","2019-09-18 00:00:00","15.000","272.000","1.800","24.800","0.740","1009.900","-99.000","0.000","-99.000","-99.000","-99.000","28.800","","23.900",""
"C0U760","2019-09-18 00:00:00","22.000","309.000","1.000","27.200","0.570","1009.100","-99.000","0.500","6.600","299.000","","31.200","","24.600",""
"C0X290","2019-09-18 00:00:00","10.000","34.000","4.100","26.400","0.720","1007.100","-99.000","0.000","-99.000","-99.000","-99.000","30.900","","25.300",""
"C0R420","2019-09-18 00:00:00","504.000","100.000","2.800","21.900","-99.000","948.600","-99.000","0.500","-99.000","-99.000","-99.000","24.900","","20.900",""
"C0E830","2019-09-18 00:00:00","37.000","35.000","3.900","26.400","0.730","1004.500","-99.000","0.000","-99.000","-99.000","-99.000","29.800","","24.500",""
"C0K330","2019-09-18 00:00:00","38.000","359.000","1.100","25.000","0.710","1003.700","-99.000","0.000","-99.000","-99.000","-99.000","31.900","","24.600",""
"C0M660","2019-09-18 00:00:00","40.000","2.000","2.000","25.300","0.710","1004.400","-99.000","0.000","-99.000","-99.000","-99.000","31.800","","24.500",""
"C0D580","2019-09-18 00:00:00","120.000","201.000","0.300","22.300","0.830","996.400","-99.000","0.000","5.700","150.000","","27.700","","21.200",""
"C0R640","2019-09-18 00:00:00","21.000","86.000","1.100","28.600","0.780","1006.500","-99.000","0.000","-99.000","-99.000","-99.000","30.700","","26.400",""
"C0E810","2019-09-18 00:00:00","53.000","23.000","4.800","24.600","0.830","1003.500","-99.000","0.000","-99.000","-99.000","-99.000","28.600","","22.600",""
"C0G830","2019-09-18 00:00:00","27.000","360.000","3.700","24.600","0.880","1003.700","-99.000","0.000","-99.000","-99.000","-99.000","31.100","","23.500",""
"C0A550","2019-09-18 00:00:00","422.000","0.000","0.000","21.900","1.000","964.800","-99.000","5.500","-99.000","-99.000","-99.000","23.500","","21.000",""
"C0G750","2019-09-18 00:00:00","31.000","344.000","0.700","25.600","0.700","1005.700","-99.000","0.000","6.600","2.000","","31.900","","23.700",""
"C0Z270","2019-09-18 00:00:00","343.000","262.000","2.700","22.200","0.920","972.100","-99.000","0.000","-99.000","-99.000","-99.000","28.100","","22.200",""
"C0UA30","2019-09-18 00:00:00","1397.000","139.000","0.300","17.000","0.950","861.700","-99.000","0.000","-99.000","-99.000","-99.000","22.700","","14.500",""
"C0I080","2019-09-18 00:00:00","536.000","276.000","0.300","23.400","0.880","952.000","-99.000","0.000","-99.000","-99.000","-99.000","30.400","","21.500",""
"C0UA00","2019-09-18 00:00:00","392.000","289.000","0.300","22.600","0.990","969.100","-99.000","0.000","-99.000","-99.000","-99.000","31.100","","19.700",""
"C0AD40","2019-09-18 00:00:00","32.000","117.000","0.800","25.000","0.820","1008.200","-99.000","0.000","-99.000","-99.000","-99.000","28.300","","24.200",""
"C0S660","2019-09-18 00:00:00","794.000","0.000","0.000","20.400","0.980","924.400","-99.000","0.000","-99.000","-99.000","-99.000","28.100","","19.500",""
"C0M640","2019-09-18 00:00:00","155.000","321.000","0.500","24.500","0.860","991.000","-99.000","0.000","-99.000","-99.000","-99.000","30.300","","23.700",""
"C0R660","2019-09-18 00:00:00","20.000","141.000","0.900","26.700","-99.000","1006.500","-99.000","0.000","-99.000","-99.000","-99.000","32.000","","25.300",""
"C0UA10","2019-09-18 00:00:00","1711.000","0.000","0.200","14.800","1.000","833.300","-99.000","0.000","-99.000","-99.000","-99.000","22.700","","10.000",""
"C0V770","2019-09-18 00:00:00","26.000","174.000","1.000","28.800","0.770","1005.200","-99.000","0.000","-99.000","-99.000","-99.000","32.500","","26.500",""
"C0E730","2019-09-18 00:00:00","26.000","30.000","2.800","26.000","0.730","1005.700","-99.000","0.000","-99.000","-99.000","-99.000","29.500","","25.000",""
"C0V810","2019-09-18 00:00:00","32.000","224.000","2.200","28.200","0.930","1003.200","-99.000","0.000","-99.000","-99.000","-99.000","31.100","","27.400",""
"C0A9C0","2019-09-18 00:00:00","35.000","29.000","2.200","26.500","0.720","1008.300","-99.000","2.500","-99.000","-99.000","-99.000","28.700","","23.900",""
"C0X310","2019-09-18 00:00:00","9.000","15.000","1.700","26.700","0.720","1007.900","-99.000","0.000","-99.000","-99.000","-99.000","30.100","","25.100",""
"C0K280","2019-09-18 00:00:00","23.000","23.000","4.300","26.300","0.660","1008.000","-99.000","0.000","-99.000","-99.000","-99.000","33.300","","24.000",""
"C0M650","2019-09-18 00:00:00","20.000","23.000","2.200","25.200","0.730","1006.600","-99.000","0.000","-99.000","-99.000","-99.000","31.800","","24.000",""
"C0S910","2019-09-18 00:00:00","212.000","41.000","11.600","26.300","0.820","985.100","-99.000","0.000","18.700","43.000","","26.900","","25.900",""
"C0D570","2019-09-18 00:00:00","15.000","20.000","0.500","25.100","0.830","1008.900","-99.000","0.000","-99.000","-99.000","-99.000","31.000","","24.300",""
"C0K580","2019-09-18 00:00:00","26.000","353.000","2.000","25.200","0.720","1006.400","-99.000","0.000","-99.000","-99.000","-99.000","32.200","","24.200",""
"C0X050","2019-09-18 00:00:00","25.000","86.000","0.400","25.100","0.860","1004.600","-99.000","0.000","-99.000","-99.000","-99.000","33.100","","24.100",""
"CM0100","2019-09-18 00:00:00","25.000","64.000","2.100","25.200","0.760","1008.200","-99.000","0.000","-99.000","-99.000","-99.000","28.600","","24.800",""
"C0AC70","2019-09-18 00:00:00","71.000","0.000","0.200","25.600","0.820","1003.900","-99.000","1.000","-99.000","-99.000","-99.000","28.300","","25.000",""
"CM0130","2019-09-18 00:00:00","11.000","13.000","1.600","27.000","0.670","1007.600","-99.000","0.000","-99.000","-99.000","-99.000","30.400","","25.700",""
"C0W110","2019-09-18 00:00:00","16.000","36.000","7.300","-99.000","-99.000","1011.100","-99.000","0.000","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"C0R670","2019-09-18 00:00:00","26.000","66.000","2.200","27.800","-99.000","1006.000","-99.000","0.000","-99.000","-99.000","-99.000","31.600","","27.000",""
"C0X120","2019-09-18 00:00:00","28.000","3.000","1.300","26.500","0.730","1006.100","-99.000","0.000","-99.000","-99.000","-99.000","31.800","","25.100",""
"C0R100","2019-09-18 00:00:00","1006.000","239.000","0.500","19.600","0.990","900.800","-99.000","0.500","-99.000","-99.000","-99.000","26.000","","19.300",""
"C0C700","2019-09-18 00:00:00","151.000","83.000","1.200","24.400","0.810","995.000","-99.000","0.000","-99.000","-99.000","-99.000","27.700","","23.700",""
"C0W130","2019-09-18 00:00:00","18.000","20.000","5.300","26.500","0.800","1006.200","-99.000","0.000","11.400","14.000","","28.300","","26.100",""
"C0F9R0","2019-09-18 00:00:00","20.000","41.000","5.000","25.900","0.810","1007.200","-99.000","0.000","-99.000","-99.000","-99.000","30.400","","24.800",""
"C0V660","2019-09-18 00:00:00","25.000","4.000","2.000","28.500","0.840","1006.300","-99.000","0.000","-99.000","-99.000","-99.000","32.200","","26.600",""
"C0G780","2019-09-18 00:00:00","27.000","32.000","1.100","26.200","0.670","1005.000","-99.000","0.000","-99.000","-99.000","-99.000","31.700","","24.900",""
"C0C590","2019-09-18 00:00:00","72.000","61.000","0.800","24.500","0.830","1002.700","-99.000","2.500","-99.000","-99.000","-99.000","27.900","","23.300",""
"C0I520","2019-09-18 00:00:00","3860.000","-99.000","-99.000","6.500","0.380","642.300","-99.000","-99.000","-99.000","-99.000","-99.000","12.800","","5.200",""
"C0E530","2019-09-18 00:00:00","341.000","40.000","2.500","22.700","0.800","970.400","-99.000","0.000","-99.000","-99.000","-99.000","28.900","","20.600",""
